x,y,z,yaw,velocity,change_flag
328691.4375,-36741.3867,13.8186,-1.8270,0,0
328691.3125,-36742.3867,13.8652,-1.7347,3.1368,0
328691.1562,-36743.4883,13.7325,-1.7266,10.5910,0
328690.9375,-36744.5234,13.8545,-1.7768,2.8973,0
328690.8125,-36745.5625,13.8657,-1.7941,2.5130,0
328690.6875,-36746.5859,13.8579,-1.7977,2.0330,0
328690.5625,-36747.6055,13.8656,-1.8050,1.9596,0
328690.4062,-36748.6016,13.9151,-1.7961,4.2919,0
328690.2188,-36749.6641,13.8846,-1.7776,3.3038,0
328690.0312,-36750.6680,13.8154,-1.7872,1.8369,0
328689.9062,-36751.7500,13.8459,-1.7591,3.4067,0
