x,y,z,yaw,velocity,change_flag
328695.4375,-36690.7617,13.2817,1.3981,0,0
328695.5000,-36689.7188,13.1191,1.5643,23.3244,0
328695.6875,-36688.7227,13.3287,1.3503,1.3203,0
328695.9062,-36687.6836,13.2453,1.2960,6.5270,0
328696.1875,-36686.6914,13.2095,1.3116,5.2021,0
328696.4375,-36685.6289,13.2740,1.2895,4.4232,0
328696.5938,-36684.5078,13.2965,1.4287,5.9757,0
328696.7812,-36683.3477,13.2010,1.4083,15.9686,0
328697.0312,-36682.3711,13.2697,1.3218,12.6167,0
328697.3125,-36681.3086,13.1888,1.2300,6.2449,0
328697.7188,-36680.2070,13.1472,1.1622,8.5771,0
