x,y,z,yaw,velocity,change_flag
-13512.8115,-43806.0977,71.0222,1.5489,0,0
-13512.5850,-43805.0820,71.0220,1.5598,0.0000,0
-13512.5068,-43803.9922,71.0080,1.5380,0.0000,0
-13512.4385,-43802.9023,70.9607,1.5026,0.0000,0
-13512.3057,-43801.8672,70.9854,1.4919,0.0000,0
-13512.0781,-43800.8438,70.9914,1.4725,0.0000,0
-13511.8994,-43799.8164,70.9291,1.4525,0.0000,0
-13511.9092,-43798.8125,70.9031,1.4379,0.0000,0
-13511.6465,-43797.8359,70.9199,1.4588,0.0000,0
-13511.6016,-43796.8164,70.9611,1.4549,0.0000,0
-13511.4150,-43795.8203,70.9010,1.4618,0.0000,0
-13511.3174,-43794.8164,70.9053,1.4640,0.0000,0
-13511.1738,-43793.7461,70.8836,1.4754,0.0000,0
-13511.0186,-43792.6797,70.8368,1.4957,0.0000,0
-13510.8564,-43791.6406,70.8537,1.4880,0.0000,0
-13510.7773,-43790.6172,70.8449,1.4918,0.0000,0
-13510.6221,-43789.6094,70.8065,1.4691,0.0000,0
-13510.6064,-43788.5898,70.8699,1.4838,0.0000,0
-13510.4434,-43787.5117,70.8825,1.5727,0.0000,0
